Game,Score,Annealing Time,Fitness Score
502,15,4.1778,8.3e-005
503,24,4.58962,4.6e-005
504,18,7.29573,2e-005
505,8,0.105156,0.000347
506,19,4.6111,0.000127
507,8,0.108286,0.000234
508,21,4.01648,0.000454
509,7,0.063702,1.8e-005
510,27,13.0098,0.000365
511,11,2.18942,3.1e-005
512,9,2.14636,0.000107
513,28,18.8524,2.7e-005
514,19,7.27106,8.2e-005
515,12,8.9824,1.1e-005
516,5,0.0525,3.3e-005
517,20,14.0083,1.3e-005
518,11,9.62903,0.000273
519,28,13.9929,2.9e-005
520,8,2.1657,0.000223
521,27,3.13725,3.5e-005
522,11,4.25093,0.000188
523,6,0.090771,5.4e-005
524,3,0.028216,0.000358
525,7,0.082519,0.000671
526,10,4.07653,5.5e-005
527,13,3.03716,0.000677
528,12,3.5268,3.4e-005
529,20,6.55544,0.000224
530,6,0.079069,1.5e-005
531,12,1.50157,9.4e-005
532,14,5.16683,1.1e-005
533,14,2.26846,1.2e-005
534,21,17.6007,7.1e-005
535,8,0.139808,9.8e-005
536,16,0.234751,3.6e-005
537,18,6.52069,4e-005
538,11,8.79121,9e-006
539,25,12.3417,1.6e-005
540,7,0.072009,0.00013
541,13,0.213033,0.000156
542,6,0.072104,0.000605
543,25,2.39321,7.3e-005
544,11,0.205735,0.000103
545,27,4.57637,0.00019
546,8,0.163713,0.000118
547,9,0.116711,0.000796
548,15,4.86527,0.00032
549,6,0.080797,0.000516
550,8,1.40401,0.000559
551,7,0.080405,6.8e-005
552,61,36.2368,0.000217
553,12,0.217148,1.9e-005
554,9,1.39926,0.000155
555,11,2.88693,3e-005
556,12,0.172728,0.001249
557,8,7.81494,8e-006
558,23,0.411478,0.000316
559,17,19.2581,2.2e-005
560,34,12.8349,0.000168
561,27,10.0664,2.2e-005
562,15,8.42222,7e-006
563,19,10.8175,2.6e-005
564,16,2.91845,7.6e-005
565,6,0.843892,0.000242
566,35,9.41536,0.000144
567,11,7.62647,0.000101
568,17,1.65342,4.2e-005
569,13,13.092,0.000116
570,21,8.89658,1.9e-005
571,8,5.23718,0.000125
572,14,6.96416,0.000119
573,8,0.240312,1.1e-005
574,13,0.910089,7.2e-005
575,8,4.14629,3.1e-005
576,3,0.029698,0.000296
577,22,6.0756,5.3e-005
578,10,6.28807,2.4e-005
579,28,7.97081,0.000528
580,8,0.109647,8.3e-005
581,13,1.5091,1e-005
582,5,0.053759,0.000104
583,8,0.170845,2.5e-005
584,5,5.17637,5.8e-005
585,16,5.21695,1.6e-005
586,21,9.10137,7.5e-005
587,10,2.4818,0.000541
588,18,3.73121,3.9e-005
589,23,2.3476,2.8e-005
590,26,6.79835,3.2e-005
591,13,10.938,1e-005
592,20,3.8636,9.5e-005
593,9,0.121392,0.000178
594,37,13.6819,8.9e-005
595,22,12.6487,0.000522
596,7,2.0459,0.000119
597,15,6.13815,1.3e-005
598,20,9.10964,0.000103
599,22,11.457,2.1e-005
600,12,2.18862,7e-006
601,14,3.00393,0.000241
602,8,5.13852,0.0001
603,13,0.203055,2.4e-005
604,12,8.43445,0.000131
605,9,0.194241,1.6e-005
606,23,9.17977,0.00018
607,10,3.05391,0.000113
608,5,0.05016,0.00023
609,15,4.17418,5e-005
610,21,1.97344,0.000122
611,44,14.0914,0.000167
612,26,1.2141,0.000326
613,10,0.169953,0.000147
614,9,0.120213,3.6e-005
615,21,5.87257,0.000409
616,7,2.1109,3.5e-005
617,10,0.128217,0.000139
618,13,1.62741,0.000167
619,26,5.7629,0.000286
620,13,0.505454,0.000182
621,19,7.74878,0.000134
622,12,1.5006,6.6e-005
623,12,1.5465,0.000177
624,5,0.061767,0.000101
625,36,5.05531,0.000172
626,9,0.127285,2.4e-005
627,3,0.028376,0.000146
628,13,0.189343,2.7e-005
629,8,0.138651,8e-005
630,5,0.072527,0.00031
631,17,6.46241,9e-005
632,11,0.149895,8.4e-005
633,8,5.01989,6e-006
634,11,4.10995,2e-005
635,8,0.142302,8.2e-005
636,33,12.1668,9e-005
637,16,8.01419,4e-006
638,19,4.46079,9.6e-005
639,16,1.60855,0.000149
640,27,1.7197,0.000455
641,9,10.5323,6.6e-005
642,12,5.3484,0.000129
643,56,37.8109,4.6e-005
644,7,2.07014,5e-005
645,7,0.093734,0.00013
646,5,0.074719,6.7e-005
647,4,0.051202,0.000352
648,15,0.601015,6e-005
649,14,7.17998,2.3e-005
650,23,10.1842,1.8e-005
651,18,6.4126,7e-005
652,6,0.120454,2.9e-005
653,9,9.33544,1.7e-005
654,14,3.04747,0.000124
655,10,2.8161,0.000209
656,25,3.6561,6.1e-005
657,25,20.2744,4.5e-005
658,10,4.57136,5.5e-005
659,16,3.60365,0.00015
660,9,1.779,4.8e-005
661,5,0.081379,0.000136
662,9,5.23509,5.7e-005
663,15,9.46902,0.000478
664,4,0.032911,0.000367
665,5,0.068799,4.5e-005
666,20,0.405845,0.000119
667,18,1.5219,6.4e-005
668,23,0.394137,0.000129
669,10,2.12434,0.000225
670,67,19.7651,6.3e-005
671,15,3.60701,3.9e-005
672,16,2.97636,0.000188
673,9,2.27003,0.000134
674,7,0.080108,0.000109
675,14,2.40751,8e-006
676,37,24.1523,8.8e-005
677,4,2.11883,5.7e-005
678,21,4.28709,0.000104
679,4,4.06829,0.000159
680,21,7.21172,7.5e-005
681,15,2.97326,3.9e-005
682,9,0.132728,4.1e-005
683,11,2.79642,9.5e-005
684,12,0.198114,7.5e-005
685,6,2.20251,6.4e-005
686,7,0.106315,8e-005
687,12,4.16845,8.1e-005
688,8,0.11793,6.7e-005
689,32,12.0278,3.3e-005
690,26,11.9431,0.000272
691,9,3.04729,8.2e-005
692,5,0.068702,0.000151
693,16,6.84073,0.00028
694,9,3.54522,7.7e-005
695,9,4.90674,3.9e-005
696,23,8.51079,3.7e-005
697,4,0.039701,0.000251
698,18,4.58546,1.5e-005
699,28,21.4163,4.4e-005
700,15,0.25686,0.000158
701,9,2.11895,7.7e-005
702,37,19.7278,7.1e-005
703,5,4.95494,1.4e-005
704,5,0.056778,0.001432
705,5,0.064625,0.000195
706,8,0.112693,0.000148
707,13,5.25386,5.4e-005
708,33,14.8342,2e-006
709,10,0.119372,0.000173
710,28,4.42662,3e-005
711,15,1.50748,0.000353
712,10,2.94218,0.000205
713,16,0.236617,0.000118
714,17,14.0055,3e-006
715,21,6.60115,0.000287
716,10,0.169785,2.8e-005
717,11,5.03227,0.000421
718,9,0.13122,6.6e-005
719,25,9.77689,4.4e-005
720,8,0.100194,0.000252
721,25,8.05386,7.4e-005
722,20,4.69558,7.3e-005
723,7,0.146306,5.1e-005
724,12,0.525619,1.9e-005
725,20,2.22532,2.1e-005
726,10,0.166242,3.9e-005
727,20,8.88991,0.000402
728,8,0.111727,0.000944
729,19,6.59288,0.000257
730,11,0.131938,0.000113
731,21,7.90214,0.000474
732,11,2.64826,8.5e-005
733,6,0.077787,0.000396
734,10,1.30168,0.000272
735,6,0.073688,6.4e-005
736,6,0.085513,0.000229
737,12,0.184278,0.000165
738,10,0.170427,0.000114
739,42,17.2544,3.8e-005
740,18,7.69891,0.000108
741,27,3.04656,2.2e-005
742,13,3.99867,0.000124
743,6,0.072591,0.000187
744,17,4.66575,5.3e-005
745,16,2.37531,7.9e-005
746,7,2.15291,0.000117
747,16,3.44659,0.00035
748,8,0.096786,6.2e-005
749,5,0.046601,1.2e-005
750,14,2.09945,0.00018
751,11,0.148473,1.6e-005
752,8,0.169887,5.9e-005
753,12,7.43584,7.3e-005
754,10,0.158392,4.8e-005
755,25,14.1282,0.000154
756,37,11.6691,0.000109
757,11,4.65529,3.6e-005
758,18,6.76741,3.1e-005
759,10,6.65685,0.000221
760,25,4.12167,2.8e-005
761,29,2.75052,0.000109
762,8,1.99143,9.8e-005
763,16,2.44151,3e-005
764,14,3.68883,0.000298
765,21,2.94024,0.000518
766,22,7.75743,0.000234
767,6,4.02613,0.00013
768,6,0.080764,0.000393
769,14,7.45395,2.7e-005
770,11,0.184017,0.00135
771,11,0.121033,0.000179
772,6,4.18849,5.2e-005
773,28,2.05879,0.000234
774,16,7.90218,6e-006
775,11,0.160551,0.000415
776,11,0.243474,9.4e-005
777,13,17.6905,5.8e-005
778,13,0.142325,4.8e-005
779,9,0.998406,6.3e-005
780,14,3.0333,6.8e-005
781,4,2.01948,3.3e-005
782,7,3.08641,3.2e-005
783,9,0.767678,0.000103
784,22,7.97626,0.000276
785,23,4.09668,8.5e-005
786,7,0.102777,0.000156
787,8,4.77132,2e-006
788,15,0.199543,0.000252
789,19,4.74085,0.000306
790,29,7.59935,5.3e-005
791,22,8.43994,8.9e-005
792,13,0.157302,0.000142
793,8,0.128624,0.000108
794,13,5.04397,0.000102
795,6,5.57402,8.6e-005
796,8,0.097606,0.000671
797,9,5.23088,5.8e-005
798,13,1.56741,2.2e-005
799,15,1.23213,0.000109
800,10,2.11104,0.000113
801,15,1.55295,0.000257
802,14,8.12755,6e-005
803,27,5.29304,0.000742
804,36,32.86,0.000125
805,10,9.5522,7.2e-005
806,11,1.84124,3e-005
807,8,2.589,0.000136
808,15,0.923648,0.000169
809,10,0.179852,9e-005
810,15,3.8603,5.2e-005
811,20,6.59099,0.000319
812,13,5.69351,3.5e-005
813,10,0.229136,2.1e-005
814,2,0.019317,0.003102
815,16,10.8071,0.000211
816,10,1.84935,0.000105
817,28,5.33615,0.000199
818,6,0.091181,7.7e-005
819,28,0.391512,7.9e-005
820,6,0.083074,0.000139
821,11,3.77832,4.8e-005
822,4,0.030143,0.000228
823,4,0.049083,0.000163
824,19,1.5796,1.3e-005
825,9,2.00201,0.00047
826,14,0.18652,6.7e-005
827,11,3.1786,3.1e-005
828,14,0.247517,0.000294
829,15,11.6471,1e-005
830,12,0.133021,0.000231
831,4,0.045392,0.000444
832,13,0.199708,0.000144
833,11,5.29655,0.000109
834,23,5.32614,0.001012
835,6,0.084506,3.8e-005
836,69,17.4771,0.000298
837,20,14.6767,0.000224
838,5,0.833806,0.000381
839,17,4.4859,0.000242
840,7,4.78059,1e-005
841,5,0.07029,0.000147
842,16,5.58086,2.9e-005
843,30,22.9149,7.7e-005
844,41,9.99439,9.7e-005
845,19,0.948414,2.6e-005
846,26,1.56505,1.4e-005
847,22,10.075,0.000211
848,8,0.094608,4.9e-005
849,8,1.93896,0.000369
850,6,0.071197,0.000143
851,23,9.77831,9.4e-005
852,14,8.52586,5.8e-005
853,10,0.804724,0.000226
854,44,8.39678,5.7e-005
855,27,4.09781,8e-005
856,40,8.03234,9.9e-005
857,4,0.039087,0.000168
858,17,0.896283,3.8e-005
859,12,7.57789,0.000141
860,21,2.88836,9e-006
861,6,0.080785,3e-006
862,10,0.162026,0.000152
863,21,7.25452,0.000368
864,7,0.149506,0.00018
865,19,9.42957,0.000119
866,34,5.57747,6e-005
867,10,0.175794,0.000101
868,50,32.1322,0.000164
869,30,6.74596,0.000395
870,45,12.9857,0.000114
871,13,3.91039,0.00034
872,8,0.108351,0.00013
873,22,8.73598,8.1e-005
874,10,0.130108,0.000399
875,23,8.92787,0.000201
876,20,6.7843,0.000222
877,16,1.45579,0.000114
878,8,0.100655,6.6e-005
879,16,0.830474,7.6e-005
880,20,0.290796,0.000222
881,7,3.66897,0.000363
882,13,2.09245,6.4e-005
883,38,13.4334,5.8e-005
884,17,6.68288,4.4e-005
885,35,12.5357,1.7e-005
886,9,2.62059,6.7e-005
887,15,2.80938,0.000176
888,18,0.279045,0.000106
889,37,15.1894,0.000157
890,6,3.82754,6.8e-005
891,7,1.42697,0.000134
892,13,9.03459,4.6e-005
893,15,6.66648,0.000203
894,11,3.76265,0.000152
895,11,0.602981,8.2e-005
896,16,2.88209,3.5e-005
897,5,0.070095,0.000192
898,4,0.045173,0.00021
899,19,1.52491,0.000171
900,26,10.361,0.000157
901,7,3.81904,2.6e-005
902,5,0.069991,0.001919
903,10,0.109021,6.6e-005
904,23,10.2117,0.000143
905,22,2.4531,7.3e-005
906,34,14.1192,4.5e-005
907,7,5.89275,1.2e-005
908,14,5.63857,5e-005
909,14,6.60854,0.000617
910,24,4.39335,0.000107
911,9,1.31547,0.00056
912,22,5.12517,0.00018
913,10,0.133366,1.1e-005
914,10,3.96144,7.3e-005
915,11,0.487534,5.1e-005
916,7,0.091285,4.5e-005
917,19,8.84986,1.1e-005
918,20,5.9833,7.6e-005
919,22,13.6467,0.000121
920,8,5.18932,0.000143
921,18,0.297722,0.000192
922,28,6.68396,0.000265
923,8,5.19424,3e-005
924,27,13.6549,8.6e-005
925,11,6.99248,2e-006
926,5,0.062508,9.8e-005
927,6,0.053575,8.2e-005
928,8,1.4119,7e-006
929,14,2.46925,3.5e-005
930,17,2.11046,2.9e-005
931,24,4.14402,0.000614
932,19,0.282738,0.000131
933,20,0.946764,4.6e-005
934,8,0.195635,3.3e-005
935,7,0.091369,0.000126
936,23,8.69954,0.000241
937,18,6.45747,0.000181
938,8,1.95792,4.9e-005
939,19,5.77937,8.7e-005
940,10,5.78483,0.000216
941,12,0.17411,4.7e-005
942,4,0.044096,0.000161
943,8,4.83571,0.000232
944,19,3.93292,3.8e-005
945,22,6.41345,0.00025
946,13,3.91181,1.9e-005
947,9,4.70768,7.5e-005
948,14,8.63985,4.7e-005
949,21,3.28868,5.5e-005
950,5,0.0486,0.000115
951,58,24.6151,0.000128
952,29,9.00544,0.000131
953,9,1.92036,0.000188
954,16,8.22042,0.000508
955,11,0.172036,5e-006
956,5,0.074089,0.000359
957,9,1.42674,3.4e-005
958,23,4.23023,0.000192
959,26,4.0664,1.9e-005
960,9,3.73612,9.9e-005
961,10,5.64392,2.9e-005
962,6,0.09251,0.000128
963,38,12.5145,0.000481
964,19,7.55979,0.000163
965,9,2.00994,0.000109
966,10,0.127684,3.1e-005
967,10,0.179214,0.000392
968,32,13.9222,2.7e-005
969,16,2.77856,3.4e-005
970,6,0.720225,8.4e-005
971,16,1.46009,0.000244
972,5,0.07578,0.00035
973,7,0.120688,0.00032
974,7,0.068514,9.5e-005
975,25,7.87181,7.9e-005
976,12,7.45958,5e-005
977,29,8.74234,5.8e-005
978,21,6.95447,0.000119
979,9,0.109683,6.6e-005
980,17,12.3745,3.1e-005
981,27,11.8994,7.2e-005
982,13,3.08664,0.000164
983,14,5.13566,0.000101
984,8,0.071953,4.2e-005
985,16,0.278838,4.5e-005
986,12,2.12876,0.000127
987,16,7.43754,0.000386
988,10,6.59739,6.8e-005
989,30,6.3664,0.000256
990,9,2.63244,8e-005
991,15,4.85958,5e-005
992,10,6.32926,0.000143
993,13,1.38254,1.5e-005
994,16,3.89485,5.6e-005
995,10,0.113038,3.4e-005
996,19,8.93606,8.9e-005
997,23,18.3719,3.1e-005
998,25,6.08922,0.000326
999,10,3.37109,3.4e-005
1000,4,0.036597,0.000283
